Car_Age_Years,Kms_Driven,Engine_CC,Mileage_kmpl,Num_Owners,Resale_Value
2,92336.14744810185,1500,12.361647047889484,3,437744.6371089886
4,43028.20469021355,1200,15.380894369084126,2,494597.5739030956
2,72544.85584493328,1000,20.26083101573301,2,546500.9674727345
6,60469.00315873012,1000,14.412516585863159,1,468051.93383980915
4,63769.58461209571,1800,20.994507781758774,3,583416.5664965357
8,59976.742412461455,1000,20.42961789552384,3,331048.189620277
6,54227.371770793114,1200,18.382072484125516,3,404501.7410509045
1,66959.58424385189,1000,16.747269379305944,1,568571.5390912667
3,53421.191906140564,1500,18.110521251634285,1,619248.6747636425
8,77494.54120855185,1000,19.222174704280203,2,369196.2669484745
11,68526.61509384232,1800,18.9169529294506,3,408859.25843810104
13,68993.9116992224,1000,21.47931874654021,1,410172.2357927568
1,52393.15409915114,1200,17.479795100347005,3,480339.250631382
9,56454.678943665065,1200,15.398314052754005,1,409734.6337009343
8,42181.307870369026,1000,15.04543858573575,2,432433.64141083043
9,54704.759149116566,1200,14.6454174638817,3,432960.2915239406
4,44451.36125465554,1200,18.392557845071213,1,564749.9571769419
1,79696.02773383072,1800,17.531262598555085,3,513433.9604270391
3,60758.037233910094,1500,18.065309205788544,1,583725.5224865664
11,62557.45852560646,1800,16.925880918387634,1,487508.58108063426
14,56622.80208974968,800,15.779666282554645,1,238399.16943414547
11,62963.683830771115,1800,19.228671769254905,3,312285.1632254137
6,96973.16453786526,1000,13.073872200307497,1,413485.88350417546
11,55497.89573411263,1500,16.396808864492527,2,404423.15614835086
12,50243.804479350096,1000,19.572980319936782,3,205136.32642803265
7,67945.39699358164,800,16.19832314659393,2,339968.3315594123
14,22114.220495962676,1500,18.783350839596995,2,348975.93652817665
2,60959.351803663994,1200,16.39948180892707,3,533244.70720739
13,54424.306450606484,1800,17.088310252339426,1,418563.3146864868
0,45115.301009458584,1000,19.149841031609597,2,573626.1117867341
3,67616.3650546725,800,15.444303365873735,3,462770.813522773
1,60809.826276686894,1200,19.49055666015269,1,667929.6473659301
7,32963.86638758674,1800,18.091840984895533,3,532069.1841041669
3,50302.057182113436,1200,20.51287773475806,3,374319.5248098186
1,16675.93192210913,1800,18.416299943293478,3,591813.8294922197
13,64399.039712002545,1500,15.861026759041305,1,411009.353642027
5,64249.491276602355,1200,21.455988843882473,2,557232.5574444083
5,48100.7715924949,1200,16.028114110395684,2,496083.2870942013
9,68101.69067524691,1200,17.545687831732117,3,295626.9032645503
3,40762.520683177165,1500,19.914817853923545,3,473012.54979833635
5,45502.2446109751,800,14.240144450632723,1,425017.7229999398
12,66257.85696573847,1800,20.879337960227748,3,364885.02946034446
14,49669.99867555585,1200,15.698231415347372,3,218268.59232704144
1,59060.14565696333,1500,17.090001160324856,3,379506.82239883696
9,51545.264588604856,800,18.57771580839535,2,291046.0644344617
11,53836.03265551224,1800,17.9165882878292,3,344619.292459775
1,54491.63676067511,1500,19.578352116900906,2,513365.113474288
9,49398.64864172733,1800,14.798384858057899,1,419019.3578487699
13,64536.74571540186,1200,19.454902707545436,1,448644.86678947014
3,50581.07269869076,800,19.61448477554706,2,473121.823269076
13,60235.30070693403,1500,20.058451658491784,2,320751.96915308374
14,49069.02477938395,800,14.82067845606718,2,273294.69436477806
14,36985.52060423313,1200,15.062129532341956,2,343997.09942742856
7,73686.5287388875,800,17.315248700682975,3,447133.26495535945
13,67492.90477643113,800,15.278348437394598,2,337357.24382547365
6,94330.23103196509,1000,14.392064201170992,2,417751.5185687806
11,44340.40740002613,800,17.22907188555767,2,232876.61693949968
8,56865.59269001954,1800,18.46818272291553,3,376847.6327533873
13,58072.387787162916,1500,23.597959060589318,3,291664.7609544458
7,74840.54157423197,1000,19.097350308091382,3,385199.9403906281
4,52393.381588010874,1500,21.504539999799636,1,573032.7552693151
12,42434.37218736218,1500,17.911697827252844,3,248866.57045915502
1,78117.13962691503,1200,19.119131985734587,2,455711.2747602204
14,55250.24956108158,1200,17.707724608934452,3,258448.4517254495
4,73179.65264589064,1000,23.36624643343378,3,439510.94049482705
7,71432.97601188318,1200,16.628818272941885,2,403676.12343230855
9,59551.642891465504,1200,16.90005139973362,3,365070.63545547274
8,57385.29442447878,1200,19.59308137531241,1,512427.21995842754
11,54126.527905052935,1500,18.414945807278652,3,353685.0203026007
11,59772.10306845016,1000,17.151675993045767,1,314486.45870503236
11,72946.50339255946,1500,19.920754297476314,1,509049.9929796466
12,48053.39728410631,1800,17.917705670537757,1,420910.99423839315
8,61632.684453136804,1500,17.903606545105223,2,435394.35905512364
12,43220.52857701789,1800,18.461164615057783,3,321090.32764034957
14,45088.40650436711,800,14.531758620975323,1,227330.39517757826
12,59535.91504266564,800,14.813492016421128,1,265022.80084934406
0,30597.62987559252,1800,20.173791225173616,3,544582.8463842968
8,90908.37924924078,1800,16.64607665816499,2,293986.98633867886
6,42104.100676346454,1500,17.734097303580608,2,474337.2552963969
8,59398.6723101517,1800,21.224877272245852,1,569092.7384364498
7,77523.26582725297,1000,17.82426508814083,2,345495.5406794611
0,47056.419918742526,800,17.579822371785678,3,617185.6516286221
11,25459.545156829256,800,19.79215517899058,2,395965.5833225875
7,53325.81359812993,1800,16.80347016689428,3,442836.3119780819
7,46877.694298858216,1200,20.40585845856408,1,422224.63714069896
14,25854.397371119965,1200,19.75111583887296,3,186471.25476707774
10,64273.348388582985,1800,21.660666390616672,1,467161.14121810335
2,63106.40793349427,1000,16.619313913445602,3,461710.77011602966
0,77134.89681807527,1200,20.733949292404827,3,513415.04376185464
7,43187.66451719419,1800,19.108184214007853,2,549196.8763980586
2,36012.95270329481,1000,15.349267232649957,3,542895.4301583135
2,53899.15375430124,1000,12.807647151110688,1,555107.0591538575
0,58674.86011486357,1500,16.40394623580934,3,576197.7073127237
10,73820.24404479744,1000,18.584695614691505,1,363066.201712061
4,81158.52007507738,1200,18.874695865215614,1,515798.92380477686
9,78217.1870086102,1200,17.88183786942987,3,355118.592774352
6,64148.15500339,1800,17.899741268153935,2,485788.23816446017
9,71992.48880256222,1800,17.74801299979962,3,430290.1531380902
8,50392.59847846224,1000,20.062434267476714,3,302182.21780130966
11,62525.927887128695,800,15.127420603433857,2,257509.18360174593
6,42130.64791068291,1500,18.536579715068555,1,472198.76037267497
8,60940.280953303096,800,16.354497448273918,3,285162.2461693969
7,61329.70046097019,1000,16.186917869885132,2,383531.6921146702
11,85831.92908527455,1000,20.352461127813672,2,369595.97567516996
1,56565.2570776463,800,16.033473846160113,1,541889.4020975067
0,61350.642564799295,1500,17.720963532200276,2,528272.182724947
6,63554.42123568064,800,21.91699680375799,1,383875.7564314224
6,53177.6952616732,1800,19.67615393616335,3,451639.7377317739
13,47962.60900182529,1200,17.090059374079242,2,349008.92512022
7,79482.16987270578,1800,17.25525388318824,3,502173.5239529438
4,45286.23835559553,1200,15.545594202683414,2,404455.4135834428
2,40081.228924690906,1000,20.601290484532104,2,540380.8802147539
11,70203.98068943221,1500,20.022703615842136,3,314872.49742901407
7,77367.22263036013,800,19.37320454773956,2,363224.96308186284
5,53228.855135990416,1500,19.593665889618276,3,408954.4761553833
10,53459.197685251806,800,16.45095078120515,3,271620.091128344
2,64238.152891601894,1800,14.904175114528298,1,557134.475903436
0,49382.20984885225,1800,19.12108085060762,3,579379.591453179
2,48274.31219082047,800,19.77711574724279,1,592607.0832755452
4,73193.88881979548,1500,21.214093366253927,3,508607.2116883324
14,69106.96651175428,800,17.59821958745314,2,333928.7560409312
13,79667.38329477157,1000,17.306497442839362,3,258403.66216623218
2,41211.164814517564,1800,17.521479590661087,2,600684.7598395649
0,52463.06269634075,1000,19.341487650865776,1,619437.7119800461
4,64217.693434041794,1800,17.435821434649508,2,501408.70911616227
9,46115.6872533845,1800,17.89552182647332,3,306327.3044146905
6,69625.31155731974,1200,19.66210578247791,2,483982.21914197743
14,78369.40630839497,1000,16.748327689532527,1,201293.8256775467
13,51249.630416589775,1000,20.782307970843526,2,352802.1614691148
6,60578.879103405496,1200,19.266178014653153,2,485049.78165934747
10,81834.28035121674,1500,14.284758741319369,3,289461.0787628278
8,86989.07362528499,1000,16.96929160694327,3,305608.8548520743
14,71187.01876590606,800,13.951313003587781,2,225683.49932160362
14,68901.43759790414,1200,17.6066412034264,1,272260.6389403103
9,47193.95197972632,1000,17.00337779175893,2,394439.16685286217
9,65388.14100686761,1500,19.669709518400378,1,487748.5471308769
11,68352.31261162498,1000,16.237963302089334,1,282389.6615931186
12,56844.44762158432,1800,18.77547000386898,1,386748.73584503913
2,51078.35618166506,800,19.13769521893687,2,490033.5652673267
14,40780.534897847174,1200,18.51438970445603,1,392181.918212964
6,33934.053674230614,1800,20.280247163545056,2,556487.9644359213
0,30781.747300182557,1500,22.136577701683752,1,544472.9443786606
3,68691.63859300892,1800,18.223883885398134,1,585726.1234738985
12,62215.489878401655,1800,18.810359033780735,2,408957.0130123136
3,52742.833026883556,1500,16.23944609233578,3,452348.9308909178
13,55028.15553413042,1800,15.960953171953514,3,276498.16397887067
4,63157.05812295727,1200,20.067659300665454,2,451276.7146911027
6,57531.55393487109,1000,19.803051012206716,2,415244.51981462876
6,39891.70229994258,1800,15.940760251657473,3,418921.75857118
12,73695.00330411449,1200,15.383558914981055,3,302299.6935792552
14,64561.89256004714,1000,16.70252639063882,3,174791.55943629344
10,63988.47719720772,1000,17.71724406113178,2,289349.55648569565
12,72563.44055037558,1800,17.18174718303351,1,395328.92627246643
3,47795.31965910488,1200,18.321029736664507,2,585011.2570828202
12,78205.97156588762,1800,19.834125024745212,3,366663.382715831
6,57899.357220866426,1500,18.924208757509877,1,547266.1393846332
10,73328.98320496312,1000,19.07224199536825,2,354864.79794866196
2,71016.73550231481,1800,13.096927211182244,3,476433.36665574036
5,44417.97257996166,1000,14.772193959761836,2,410104.30640927854
11,67543.50607371204,1200,16.407086384707885,1,334949.7095645984
1,64894.12006270028,800,16.73721270368099,3,512342.57817395753
9,60454.67486241514,1800,19.679655669878468,2,463578.4661425666
12,58584.42374946928,1800,16.242197137063737,1,336069.094401688
13,58711.60125423312,1000,19.333855322714737,1,401278.4192602623
8,72190.34138465993,1200,16.429788522387405,2,376596.6233192693
4,68668.65770687265,1500,15.598231425214369,1,575129.2661482178
5,60457.18275398497,1200,15.691100681912417,3,469461.60767106566
11,37620.95780292938,1800,22.516532986578444,1,340635.68588543043
11,67416.65121125427,1500,16.385270062980013,2,388177.36994731013
11,70854.2042876667,1200,19.38197441772068,3,290090.0178571937
11,94506.15128170454,800,14.883603140499599,1,196303.13391656266
3,76131.49594657557,1000,20.837858008357472,1,467821.47142549953
13,31512.354181267987,1200,18.698082290127427,3,257607.6426980017
13,61176.44098527964,1200,18.547957737585776,3,307338.2215584732
10,87170.62542997472,800,18.82765464628664,1,344085.7537232712
9,69353.23285352456,1800,19.0479994488907,3,409873.44763686496
6,64929.78240559813,1000,19.61813451768976,2,408583.09420827916
11,73503.42988372853,1200,16.801805163581943,1,428048.91426417266
8,50664.32707513795,1500,16.684823412455756,2,460773.86453050823
6,67171.34994941184,1200,18.098447756096135,1,488852.4423827825
13,56242.97941512134,1000,19.368855520836618,2,232828.42679513627
0,59705.64771284288,1200,17.86668904755502,2,569739.2140427957
0,72426.8177354266,800,19.547803591598207,3,621523.5921760437
8,46099.303462617274,1200,19.235673565403836,1,494420.73328986857
10,79319.73710702907,1200,17.56603347716795,3,276071.092696365
13,53657.82058371685,1500,14.505640060438301,3,379311.00440012634
8,63909.94249725611,800,16.99294410929218,1,359854.18000638415
3,38992.38059587585,800,21.48559446761935,2,520675.79514047096
12,70797.55936307086,1200,18.6801193014114,1,358331.5866851355
8,81697.55903919866,1500,16.720899737459817,1,468420.3740083914
2,52280.37676172779,1200,18.501303155215798,1,580305.2069927722
6,43346.649202356,1200,19.353288136655603,3,404008.11848820903
5,64169.745971140626,1000,16.721868781096735,1,458613.7479741369
7,81822.15967487614,1000,20.470767788243794,1,374659.51929913514
10,38252.15151778641,1500,18.9913960423273,1,391597.16085756186
8,43405.37728157487,1800,15.80018245365532,2,482396.0436840893
13,53187.15662532726,1000,19.712732573084747,2,258408.90359891983
4,47694.84263203957,1800,17.180773230404608,2,502194.40395244886
0,47742.21800086507,800,17.64173914738879,2,670420.3034711349
2,28588.190585043343,1000,15.968062606063778,3,598077.3637893982
9,68835.85421108801,1000,19.26289282537966,3,352411.956102909
11,65080.80754304453,1500,17.702269546609156,1,446641.9917727463
7,34517.26200294532,1800,19.34751390900122,3,420163.0786723725
14,81857.9363993437,1000,16.89803522186886,2,190503.09053570556
10,85216.38472395731,1000,16.669193424259845,1,350382.59660611046
5,48736.41675329829,1500,16.5071258568045,1,535167.9969074919
7,77498.22886465509,1500,18.792064359085856,2,483280.9566217443
8,51405.03292513581,1800,16.639300350994528,2,372698.5595370902
3,62716.74765316591,800,17.593774702547172,2,568785.3086758334
0,47463.56797468637,800,16.963146025387335,3,499558.8899230955
13,93213.77285193413,1200,18.880167849795352,1,252498.78209599183
0,55559.74159005153,1000,14.529395106791377,2,543682.0542927914
9,61896.73534235194,1800,18.494065740446676,1,439411.2863954778
3,49680.9391880426,1000,21.462686378191613,1,490920.58470339084
11,87919.73395854593,1800,20.472052217467397,3,304336.1953144057
13,88299.21969134116,1800,16.766693756053055,1,373326.1733315303
6,84463.9377189441,1800,18.98920355232997,2,599871.4263352266
1,74346.60522521433,1000,18.60113094567981,2,523263.35715663765
2,50628.15679598921,1500,20.938784126324276,1,642196.7642774743
0,72417.75143943627,1000,12.979770155354466,1,609656.148837919
4,59894.358016128965,1800,20.22573473787033,3,503492.20877758705
0,79686.12932613949,1200,17.464964654472258,2,494500.8283782801
7,76738.53080048042,800,16.513542121099164,2,291234.2767922492
0,50261.01632886114,1800,16.456395942410747,1,644866.0704794603
10,74217.38704255824,1200,15.40018736757744,1,446288.6842505505
0,70230.51675065889,1500,16.77176318505213,1,671969.6386823084
1,18396.557056298276,1800,15.840531892137209,2,631142.348549568
1,72014.04959444194,1200,18.36043434101464,1,598518.2090537584
11,53523.063170396905,1800,19.17987526465676,3,363936.8761864853
5,46709.36318502489,1000,17.486853180723276,3,385031.77826025756
6,47351.090935593864,1200,20.99944641251233,1,462413.6148270461
4,57971.35656551953,1000,16.90315742908612,3,348151.2817894063
0,67200.89370130024,1000,17.382275155206816,3,588402.6694462263
0,39518.06966711729,1200,17.05411871414315,3,539959.3696742371
2,62847.71754318696,800,19.19723774782879,3,424044.591689038
13,68651.37099289607,1200,19.399147005703778,3,354930.08231028734
1,87927.08675504447,800,18.990733767942196,2,593607.779464417
4,43849.64746162305,1800,17.75178269212506,1,728588.4419959824
11,54755.817198332945,1800,15.318754281844221,3,346161.9818294708
9,63924.94459044719,1200,17.361118838378985,1,425382.4228588847
5,77211.13995287409,1800,20.956279427801064,3,516811.0644317067
6,55436.64178242279,1500,20.026475774869972,2,565470.3630957871
3,77979.62057986576,1000,18.58810079337344,2,479875.6509880237
6,30939.565252853103,1000,17.231095885763114,3,347055.7621791276
10,41199.77710317171,800,17.97276304533095,3,255649.42154603748
7,65229.66516501331,1800,17.23999152192857,3,497976.71445272316
10,38837.632528681876,800,20.386103376167092,2,372791.2535218931
0,42382.94209849925,1000,16.32206600321317,2,539129.2213358659
14,52083.34703631091,1000,19.847338564593954,1,301566.3365963069
5,71571.58487873737,1800,16.941594856682464,2,506395.71520249615
7,31560.527380390664,1500,20.64185366072398,3,498097.24878640665
4,62554.47543243591,1500,18.853551847616014,1,515835.77052101877
3,75494.4592072921,1800,16.501225200110262,2,491085.8909557174
1,57075.82187356563,1800,17.381375172995984,2,694446.6532611614
5,54467.5465561119,800,19.423281213446653,3,392288.79396426707
5,66026.56923837861,1800,17.00171435285188,1,554025.4204822639
10,57118.3342091784,1500,18.044272970762414,2,429123.257793585
14,80857.4967186112,1800,16.97411166170211,2,281048.0686990716
0,43328.80481798347,800,21.51823429649709,3,540415.1005193234
8,59225.337672523725,800,21.86214378590266,1,396837.40055490745
11,63085.29562441026,800,20.92624790678345,1,407519.7227423456
10,54323.1892223031,800,17.751252069732335,1,289405.4565145364
5,16930.76005563808,1200,17.194494706586063,1,545651.4134902457
12,57586.426379262106,1800,16.44167284097174,3,328970.1767737538
2,73502.654803687,1000,21.071442581606213,2,471230.8354368085
3,71671.63779189026,1800,19.86144742140234,2,602315.7523288989
11,65321.677232553,1200,19.957521763014682,1,379795.63053008995
10,43532.064624761646,800,17.500144126238215,1,394035.039974177
3,65929.64193687726,1200,14.484205031484183,1,593773.390165329
2,51398.43267686643,1500,14.944084780918473,2,588707.820215353
9,65302.24358923,1500,18.11526812580502,2,357676.12583044305
2,61822.57517102573,1800,16.95465148726733,1,592865.3541257647
14,45354.37093074943,1800,16.724597411214738,3,330461.1741058639
2,46613.16240964645,1000,18.69029674745725,2,552458.1541162297
3,65325.33681632274,1000,20.027319659718984,2,467871.47677430045
6,56683.30357067248,1500,16.597545862806502,1,521343.65977947606
3,47395.77854014307,800,15.388780628687645,3,432047.80793569
8,46157.547154097505,1200,16.645057649044546,1,463401.3586228391
0,55442.53728020676,1000,15.912072074896134,1,521067.57904628274
7,83521.57192077315,1000,19.185665231851978,3,285044.6032086954
6,52108.82951682062,800,17.991782491580157,3,254959.08203826024
1,59789.70692613617,800,21.76097845647112,3,480666.1366758407
7,61524.66431534265,1800,19.469370239276525,2,419436.26720278023
0,43034.604127620856,1200,21.62771227399633,1,730202.1165439333
10,33557.51274235957,800,15.192249280184768,2,361503.79419268767
11,44600.38897896404,1000,11.494282407136767,3,213089.30577636554
8,63706.16066709455,1000,18.4859840568708,2,440361.4090258957
8,61309.96586873114,1500,18.246440481984216,3,450959.25365345017
1,70536.09853726598,800,17.754429170904125,3,518931.44599034684
6,61451.248424386744,1800,18.19159345125929,1,503445.5713663444
14,58356.76062796195,1200,15.751947630538783,1,353880.1793222441
13,50939.815876123095,1800,19.126357395768903,1,473692.52854971174
9,73269.10184794039,1000,19.472386480204676,2,440325.4660045039
2,46212.29791918925,1800,15.600502565993786,1,547508.2169900686
6,43344.00724055969,1000,17.292727158301417,3,379324.47250914644
11,68505.83276082155,1000,17.41627230172048,1,315795.4412991438
9,40002.640340195176,1000,16.658378195679443,2,463180.02767154644
8,96221.86497987946,1000,15.677775219733556,1,423475.2598619842
3,61199.90070838715,1000,18.02500998205085,1,568037.4698110713
11,65218.59174487328,1500,18.521611041328597,1,436773.30503662996
0,47873.702632149194,1800,16.77963578247141,2,645166.3352516824
1,55271.02733637681,1500,15.818422804487085,3,486655.3486972686
0,53598.64324676469,1500,18.821114490082746,3,537338.5507045217
13,51872.475184970375,800,16.46535904952869,3,227035.60778116615
11,69494.4262726474,800,17.381588972801588,1,304968.2682501673
4,53256.35942662078,800,17.12784674368356,1,443096.77102965297
4,75262.51843626272,1200,20.491417328339324,2,473559.12911958096
10,99947.73525179736,800,16.557139071892763,3,229440.34915587472
6,55566.881397801764,1800,21.45105315801797,1,559060.5732840246
8,62284.732703649366,1500,19.504603876283014,1,455227.92455367185
8,65692.23085748262,1800,21.641797351578706,1,477836.3436514945
2,87172.57218890275,800,19.32927765915935,2,428020.33886733546
2,58760.28322442716,1200,17.557911104595657,3,483598.3877038555
2,47564.74620512456,1200,16.16526734169561,2,569128.3426153952
3,41004.892415614435,1500,17.289177218451453,3,533908.6631448275
7,59130.24078851649,1800,20.974562050446455,3,377013.05650263606
5,53274.29671419177,1000,17.90412241531023,1,530062.7569393802
7,90150.13933950002,1800,19.321838774310216,1,545080.8982508503
0,86547.93631015449,800,18.413942690131986,1,596331.5302351917
7,44484.40758114603,1000,18.49932235701848,1,507436.37979564874
3,49338.59844676232,1200,18.57631936792983,1,514676.96769125835
10,61106.55161830329,1500,18.990682973664903,3,341428.6347638521
0,80958.39633838144,1500,16.37178501781838,1,708159.332589624
7,60855.19704556577,1200,17.45019145818761,1,548474.9949257036
3,50291.3904301793,800,18.61862666603268,2,466880.7567671409
5,59116.77285145913,1200,18.326974445000392,2,495578.10814269626
7,50572.7270415593,800,17.07759079277553,3,380476.4024288887
3,69037.15814159223,1000,18.83320182952221,3,529863.2580254471
13,49364.49432502942,1200,16.45771728688556,2,321954.92419504584
2,52343.459213595495,800,15.553987662127462,2,419875.8884389831
13,77429.00720184145,1000,18.589971535778286,1,293255.1145815376
8,48474.52579028892,1200,15.603016524958486,1,599248.6196568971
2,38308.07951159756,1500,18.56024800483927,3,463595.64139032183
8,61424.90627034457,1200,14.090638008802493,2,394073.41697261424
12,54592.89893693106,1800,16.5500243216864,3,458030.29550921626
1,67671.2325139493,1200,17.344846173901768,1,538211.760175508
13,64762.079020966354,1800,14.786729650764679,3,175634.174375494
1,59521.22258034957,1000,17.254655454253655,3,354853.49185774295
1,59084.34861795006,1200,20.370039275904823,3,471857.2453305477
5,48962.123260157474,1000,15.459382546232888,1,393750.34838912345
2,61250.206064898644,1000,17.309253508957298,3,513161.0243575477
12,73219.27172149153,800,21.4052893387444,1,341013.4374959808
8,45398.29887900786,1000,15.876278273978464,2,278237.8209825129
3,59919.039354576984,1000,20.794446703467745,3,372656.2758201825
0,75575.83133601918,1200,17.441989439908074,3,576545.0773060566
3,67581.36139825049,1200,18.20382417176583,1,550478.7446011138
0,79642.09344526069,1500,20.58296446281877,3,623609.4138853538
13,51477.86505248498,800,17.029804121397962,1,361301.0182555956
4,32538.47327407701,1000,19.26205134680697,3,383990.88220471935
3,63009.777059335305,800,19.769194213451176,2,511901.0973941136
7,65438.562225397276,1800,16.698371985515866,2,505518.38814868446
7,80526.32931709013,1000,16.477139665802408,2,291082.20662571414
6,77822.18602060476,800,17.54279380870207,3,285618.371954377
2,68051.15434518692,1500,17.60536931767752,3,630674.0552018404
0,71480.85321255651,1500,15.842104041817622,2,535403.8736224876
0,57122.67812690041,1000,16.716799002663937,2,562165.1137611966
11,41713.28083021175,1800,11.066191686255685,1,422809.39723426674
10,61765.818260713655,1500,17.331454633411187,1,440297.6523637603
2,74738.60195441666,1500,19.788788360602634,2,545772.160699287
5,69845.41304742823,1800,14.6666217304509,2,557336.5233147977
6,72507.11008739047,800,17.07371093691293,3,401917.11998468975
5,53583.66469429872,1500,22.884665615686444,2,517758.3928786239
13,56016.79742972364,1200,17.95487991733293,1,300632.5888569859
13,67251.38232171905,1500,20.713588735615943,1,350075.6329985477
5,51802.38908236868,800,15.976169356617605,1,383231.32868845295
5,52264.243951004966,800,18.89763681154445,1,453839.32337115455
12,64469.73354566177,1000,15.635563539916623,1,246350.563824723
2,71413.57114735362,1200,18.802129229888568,1,571641.9621016092
5,57007.069900058865,800,19.684496469519566,2,445349.86589142104
7,42552.15808419541,1800,19.209951691059352,1,586616.3741136768
10,48962.94127435755,1200,17.310125348536964,1,346444.61574604054
10,63055.08127339647,1200,18.549867132035782,1,346512.295705182
1,62872.81445798947,1800,18.56898387081899,1,720505.6128096083
4,63618.57206483022,1500,19.331979310910306,2,447750.12875272415
13,67819.42935893635,1800,17.752466103586826,3,421908.4945822427
0,60087.15837813675,1800,19.862277600470467,3,543348.3977863092
11,63975.84067260468,1500,20.869210798592114,3,294774.2972554619
14,59324.597657567,1500,17.36426510659,3,314570.98877667356
0,77231.00224394159,1500,18.09287945588392,1,653132.7136805675
4,81485.13046826253,1500,16.190370432376575,3,539905.3867927236
11,42164.830764299484,1500,18.680514647648536,3,250393.92094928518
12,56171.2208684662,1800,18.69327545556159,2,414675.98732270586
2,60490.86737311061,1000,18.115972770067405,2,501803.8069084728
3,55996.279319785186,1000,18.26679930860254,2,432965.85554421705
2,86893.8388699631,800,21.843652778148375,1,616157.6835495175
0,63359.32917134602,1000,12.226554391873048,1,576767.4885341006
0,47919.42259424484,1000,17.00668624408106,1,583917.892066492
11,68946.63509341006,1800,17.31255264381584,2,420164.651664435
11,64064.61808269289,1500,20.913825225908603,3,254291.45328074115
13,64562.89379330132,1500,18.950577618637162,2,272139.9846882095
12,87118.14238198785,1800,18.99937167227631,1,396807.9859822874
13,65261.77763632214,1000,20.51971238180625,2,304748.3323669719
4,55445.077141890055,1800,17.640086596393438,3,568929.4397204808
5,30670.853605348486,800,19.304653071656464,1,438332.47095234244
2,57519.01472784732,1500,16.938468223693285,3,456391.3313239215
11,79589.54875990783,1200,15.893387348309075,3,312956.7060026486
8,58632.463206657194,800,21.588333974605977,1,408653.869802213
4,26399.25152220745,800,18.73806345952826,3,326950.84471465036
